SDR	7.1.1
09/08/2012 11:10:00	4.0	2.6																							202								-123.5															
09/08/2012 11:20:00	2.4	1.5																							270								-123.5															
09/08/2012 11:30:00	6.8	1.2																							248								-123.5															
09/08/2012 11:40:00	6.9	1.0																							248								-123.5															
09/08/2012 11:50:00	5.4	1.0																							248								-123.5															
09/08/2012 12:00:00	3.3	1.1																							248								-123.5															
09/08/2012 12:10:00	4.1	0.9																							202								-123.5															
09/08/2012 12:20:00	4.1	1.4																							225								-123.5															
09/08/2012 12:30:00	5.0	0.9																							225								-123.5															
09/08/2012 12:40:00	4.5	1.1																							225								-123.5															
09/08/2012 12:50:00	2.2	1.0																							225								-123.5															
09/08/2012 13:00:00	4.5	0.8																							202								-123.5															
09/08/2012 13:10:00	4.5	0.9																							180								-123.5															
09/08/2012 13:20:00	6.3	1.1																							202								-123.5															
09/08/2012 13:30:00	3.6	2.5																							158								-123.5															
09/08/2012 13:40:00	2.7	1.4																							0								-123.5															
09/08/2012 13:50:00	2.4	1.2																							315								-123.5															
09/08/2012 14:00:00	2.1	1.7																							0								-123.5															
09/08/2012 14:10:00	2.1	1.3																							0								-123.5															
09/08/2012 14:20:00	4.0	1.7																							22								-123.5															
09/08/2012 14:30:00	4.4	1.4																							45								-123.5															
09/08/2012 14:40:00	3.6	1.6																							45								-123.5															
09/08/2012 14:50:00	3.3	1.3																							45								-123.5															
09/08/2012 15:00:00	4.1	2.1																							22								-123.5															
09/08/2012 15:10:00	5.5	1.7																							45								-123.5															
09/08/2012 15:20:00	4.3	1.2																							45								-123.5															
09/08/2012 15:30:00	3.1	1.3																							22								-123.5															
09/08/2012 15:40:00	4.4	1.7																							68								-123.5															
09/08/2012 15:50:00	6.6	1.5																							68								-123.5															
09/08/2012 16:00:00	6.8	1.7																							68								-123.5															
09/08/2012 16:10:00	5.3	1.8																							45								-123.5															
09/08/2012 16:20:00	5.1	1.4																							68								-123.5															
09/08/2012 16:30:00	2.9	1.4																							68								-123.5															
09/08/2012 16:40:00	3.9	1.1																							45								-123.5															
09/08/2012 16:50:00	3.5	1.3																							68								-123.5															
09/08/2012 17:00:00	2.3	1.0																							0								-123.5															
09/08/2012 17:10:00	2.6	1.0																							45								-123.5															
09/08/2012 17:20:00	1.7	1.0																							45								-123.5															
09/08/2012 17:30:00	2.0	0.9																							315								-123.5															
09/08/2012 17:40:00	3.9	0.9																							248								-123.5															
09/08/2012 17:50:00	2.8	1.5																							202								-123.5															
09/08/2012 18:00:00	0.8	0.1																							45								-123.5															
09/08/2012 18:10:00	2.0	1.0																							270								-123.5															
09/08/2012 18:20:00	0.8	0.2																							158								-123.5															
09/08/2012 18:30:00	0.8	0.0																							225								-123.5															
09/08/2012 18:40:00	0.8	0.0																							225								-123.5															
09/08/2012 18:50:00	2.4	1.0																							248								-123.5															
09/08/2012 19:00:00	2.2	1.1																							248								-123.5															
09/08/2012 19:10:00	4.0	1.2																							225								-123.5															
09/08/2012 19:20:00	3.2	0.9																							225								-123.5															
09/08/2012 19:30:00	1.6	1.3																							248								-123.5															
